provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
postgresql,traditional-offset-zero,25,0,25,1,5,30,177.931,199.856,178.779,156.157,201.865,172.270,194.178,173.529,152.410,197.988,412.074,,,,,12928,6687,plans/postgresql.traditional-offset-zero.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-zero,500,0,500,1,5,30,201.525,220.955,204.155,183.838,269.561,184.554,203.087,186.758,168.846,206.847,307.231,,,,,26031,7834,plans/postgresql.traditional-offset-zero.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,25,25,25,1,5,30,162.347,182.947,163.006,142.272,187.786,159.571,180.638,159.752,140.434,185.322,280.739,,,,,12534,7078,plans/postgresql.traditional-offset-shallow.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,500,500,500,1,5,30,200.112,237.059,201.250,174.102,239.751,188.368,224.016,188.256,161.766,227.816,302.836,,,,,26377,7493,plans/postgresql.traditional-offset-shallow.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,25,450000,25,1,5,30,196.277,250.307,203.960,182.909,267.957,194.079,247.651,200.715,180.666,262.374,355.711,,,,,12580,9769,plans/postgresql.traditional-offset-deep.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,500,450000,500,1,5,30,230.480,283.233,236.180,209.982,287.505,215.819,257.407,221.248,196.252,267.525,367.026,,,,,29428,7174,plans/postgresql.traditional-offset-deep.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
