provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,5,30,12.252,22.512,13.655,10.188,23.871,7.106,12.922,8.005,5.810,18.650,,1.000,0.000,6,0,,,plans/mssql.traditional-offset-zero.25.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,5,30,25.809,32.897,26.632,20.797,33.179,8.137,13.008,9.156,6.040,17.791,,1.000,1.000,36,0,,,plans/mssql.traditional-offset-zero.500.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,5,30,12.649,19.411,13.965,9.629,22.241,8.836,14.774,9.342,6.066,14.848,,1.000,0.000,27,0,,,plans/mssql.traditional-offset-shallow.25.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,5,30,20.576,33.503,22.221,17.072,36.869,8.223,12.828,8.729,6.347,17.896,,0.000,0.000,46,0,,,plans/mssql.traditional-offset-shallow.500.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,5,30,206.407,232.697,208.660,182.128,234.379,202.767,228.844,205.479,179.323,232.038,,48.000,48.000,9426,0,,,plans/mssql.traditional-offset-deep.25.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,5,30,189.726,217.181,193.514,172.852,219.086,180.635,206.436,183.540,161.583,209.804,,47.000,47.000,9436,0,,,plans/mssql.traditional-offset-deep.500.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
