provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,5,30,12.882,23.518,14.494,9.086,24.809,7.864,18.290,8.707,5.690,18.433,,9.000,4.000,288,0,,,plans/mssql.traditional-offset-zero.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,5,30,25.077,35.017,26.140,20.091,36.742,8.849,15.435,9.927,6.457,21.154,,12.000,10.000,5553,0,,,plans/mssql.traditional-offset-zero.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,5,30,10.606,21.049,12.458,7.767,26.270,6.583,16.396,8.100,4.550,18.709,,9.000,8.000,309,0,,,plans/mssql.traditional-offset-shallow.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,5,30,22.882,35.567,25.094,18.711,37.203,8.562,14.839,10.323,6.504,21.607,,16.000,21.000,5563,0,,,plans/mssql.traditional-offset-shallow.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,5,30,225.329,257.035,226.950,196.630,257.734,222.467,252.543,223.199,193.085,254.316,,262.000,258.000,9708,0,,,plans/mssql.traditional-offset-deep.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,5,30,228.263,269.018,231.531,195.469,280.147,217.528,264.288,220.747,187.469,268.806,,223.000,222.000,14953,0,,,plans/mssql.traditional-offset-deep.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
