provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,driver_execute_p50_ms,driver_execute_p95_ms,driver_execute_mean_ms,driver_execute_min_ms,driver_execute_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,10,60,13.020,16.276,13.223,8.585,17.799,5.264,6.669,5.290,3.319,7.090,,10.000,8.000,1450,0,,,plans/mssql.traditional-offset-zero.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,10,60,54.268,67.394,55.171,42.328,76.844,7.127,8.481,7.253,5.292,11.037,,34.000,36.000,28160,0,,,plans/mssql.traditional-offset-zero.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,10,60,10.820,13.287,10.844,7.505,16.674,5.125,6.380,5.180,3.459,6.633,,12.000,6.000,1472,0,,,plans/mssql.traditional-offset-shallow.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,10,60,54.195,114.379,65.802,37.580,173.076,7.901,16.843,10.077,5.862,49.803,,40.000,38.000,28182,0,,,plans/mssql.traditional-offset-shallow.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,10,60,196.759,227.275,196.717,169.553,239.911,192.381,222.134,191.600,165.781,234.334,,222.000,221.000,10880,0,,,plans/mssql.traditional-offset-deep.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,10,60,228.702,259.035,229.875,194.981,303.548,193.924,222.848,194.648,169.046,255.489,,234.000,234.000,37575,0,,,plans/mssql.traditional-offset-deep.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
