Counters: {"executed": "68", "failed": "0", "notExecuted": "0", "passed": "68", "total": "68"}
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_guarded_activation_does_not_complete
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_instance_database_could_not_be_read
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_operator_evidence_is_absent
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_provider_artifacts_do_not_validate_after_they_are_created(CreatedOrMatched)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_provider_artifacts_do_not_validate_after_they_are_created(Failed)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_provider_capture_artifacts_could_not_be_provisioned
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_provider_capture_artifacts_outlive_the_provider_setup_budget
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerInitialEnable.It_stops_when_the_target_is_not_a_configured_projection_target
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_enables_the_replacing_generation_while_the_generation_it_fenced_is_still_bound
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_fences_the_outgoing_connector_and_enables_the_replacing_generation
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_leaves_the_record_of_the_generation_it_replaces_untouched
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_bound_replacement_whose_lifecycle_the_enablement_would_reject
