provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,driver_execute_p50_ms,driver_execute_p95_ms,driver_execute_mean_ms,driver_execute_min_ms,driver_execute_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
postgresql,traditional-offset-zero,25,0,25,1,10,60,147.393,194.165,157.774,125.407,269.319,143.747,188.642,153.717,120.855,264.800,217.346,,,,,13081,6535,plans/postgresql.traditional-offset-zero.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-zero,500,0,500,1,10,60,159.913,222.737,173.883,145.520,538.817,146.800,211.712,161.497,134.401,525.565,244.630,,,,,25851,8015,plans/postgresql.traditional-offset-zero.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,25,25,25,1,10,60,131.144,150.795,132.403,113.108,199.919,129.272,145.847,129.917,111.714,196.689,277.283,,,,,12354,7259,plans/postgresql.traditional-offset-shallow.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,500,500,500,1,10,60,152.837,183.744,155.789,131.385,202.497,140.965,168.270,143.191,125.882,188.484,282.129,,,,,26226,7645,plans/postgresql.traditional-offset-shallow.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,25,450000,25,1,10,60,152.175,185.401,156.646,136.578,208.563,149.469,183.087,154.006,133.625,205.009,344.186,,,,,15155,7195,plans/postgresql.traditional-offset-deep.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,500,450000,500,1,10,60,170.095,211.260,175.964,156.227,218.790,158.716,193.371,164.289,147.848,208.927,297.149,,,,,29165,7438,plans/postgresql.traditional-offset-deep.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
