provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,5,30,8.973,15.773,9.781,7.525,16.831,3.892,4.831,3.997,2.950,7.754,,9.000,6.000,1450,0,,,plans/mssql.traditional-offset-zero.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,5,30,34.442,41.222,34.907,29.716,41.612,5.114,5.608,5.119,4.622,5.609,,19.000,17.000,28159,0,,,plans/mssql.traditional-offset-zero.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,5,30,8.720,12.308,9.012,6.890,13.644,4.401,5.986,4.509,3.129,6.285,,8.000,6.000,1471,0,,,plans/mssql.traditional-offset-shallow.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,5,30,33.304,38.610,34.131,27.561,65.722,5.494,6.686,5.625,5.015,7.069,,19.000,20.000,28181,0,,,plans/mssql.traditional-offset-shallow.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,5,30,128.164,139.303,129.372,121.970,145.572,123.393,135.321,125.298,118.089,141.690,,139.000,135.000,10878,0,,,plans/mssql.traditional-offset-deep.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,5,30,142.759,153.416,144.423,136.499,175.142,123.438,129.507,123.674,117.751,132.712,,145.000,145.000,37575,0,,,plans/mssql.traditional-offset-deep.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,8822f55e863a8c8a5b0fce5ba52607021236bebd,5656477957eb2f18e827b7969e5079b424596ae0
