provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,5,30,15.408,28.019,17.197,12.017,35.102,6.422,16.905,7.972,4.737,17.330,,14.000,11.000,1450,0,,,plans/mssql.traditional-offset-zero.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,7cf512d15e95bfe3cb0af7cf96eec209ef233507,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,5,30,61.883,81.809,62.089,43.635,83.061,10.069,19.830,11.262,6.572,21.241,,32.000,32.000,28160,0,,,plans/mssql.traditional-offset-zero.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,7cf512d15e95bfe3cb0af7cf96eec209ef233507,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,5,30,15.379,24.928,16.957,12.211,25.138,8.607,13.094,8.628,5.182,14.742,,12.000,10.000,1472,0,,,plans/mssql.traditional-offset-shallow.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,7cf512d15e95bfe3cb0af7cf96eec209ef233507,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,5,30,59.204,83.586,61.363,46.867,109.754,9.600,21.316,11.396,7.189,23.744,,28.000,28.000,28182,0,,,plans/mssql.traditional-offset-shallow.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,7cf512d15e95bfe3cb0af7cf96eec209ef233507,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,5,30,208.128,221.240,208.899,188.465,232.951,201.219,214.806,201.999,181.531,227.523,,227.000,230.000,10878,0,,,plans/mssql.traditional-offset-deep.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,7cf512d15e95bfe3cb0af7cf96eec209ef233507,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,5,30,243.504,265.816,245.003,213.970,280.715,199.828,225.400,203.839,181.964,234.021,,246.000,246.000,37575,0,,,plans/mssql.traditional-offset-deep.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,7cf512d15e95bfe3cb0af7cf96eec209ef233507,5656477957eb2f18e827b7969e5079b424596ae0
