provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,driver_execute_p50_ms,driver_execute_p95_ms,driver_execute_mean_ms,driver_execute_min_ms,driver_execute_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,5,30,15.343,30.633,18.090,11.630,67.882,6.747,16.349,8.171,5.248,20.825,,25.000,21.000,1450,0,,,plans/mssql.traditional-offset-zero.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,5,30,60.452,84.225,62.392,47.752,86.851,9.296,15.892,10.617,7.372,22.705,,34.000,36.000,28160,0,,,plans/mssql.traditional-offset-zero.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,5,30,12.605,23.439,13.790,9.772,23.688,6.234,17.209,7.414,4.747,18.581,,11.000,7.000,1472,0,,,plans/mssql.traditional-offset-shallow.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,5,30,57.412,84.589,60.948,46.404,88.715,9.187,23.825,11.691,7.812,24.741,,26.000,26.000,28182,0,,,plans/mssql.traditional-offset-shallow.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,5,30,219.334,237.795,219.471,199.408,250.794,210.004,230.765,212.718,192.718,244.236,,222.000,222.000,10878,0,,,plans/mssql.traditional-offset-deep.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,5,30,252.229,277.843,254.281,226.073,283.112,213.486,237.394,214.989,196.316,239.418,,257.000,268.000,37575,0,,,plans/mssql.traditional-offset-deep.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,0d3241bf92f34a8807e2e444c9b920a2e1afb8b5,5656477957eb2f18e827b7969e5079b424596ae0
