Source revision: e3bef5730c0296ced3e1aaf2a4f1905685847e4d
Exit code: 0
{'total': '104', 'executed': '104', 'passed': '104', 'failed': '0', 'error': '0', 'timeout': '0', 'aborted': '0', 'inconclusive': '0', 'passedButRunAborted': '0', 'notRunnable': '0', 'notExecuted': '0', 'disconnected': '0', 'warning': '0', 'completed': '0', 'inProgress': '0', 'pending': '0'}

Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("[]")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("{ this is not json")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("{\"status\":200}")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("{\"value\":[],\"status\":200}")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("{\"value\":{\"MilliSecondsBehindSource\":1}}")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_unreachable_bridge_as_unavailable
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_lag_at_the_threshold_as_within_it
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_lag_beyond_the_threshold_as_exceeded_with_every_quantile_populated
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_lag_within_the_threshold_with_every_quantile_populated
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_more_than_one_matching_mbean_as_metrics_absent
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_captures_a_fresh_barrier_against_a_running_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_does_not_wait_for_barrier_evidence_a_connector_that_is_not_running_cannot_produce("FAILED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_does_not_wait_for_barrier_evidence_a_connector_that_is_not_running_cannot_produce("PAUSED")
