provider,scenario_id,family,variant,phase,page_size,offset,cursor_range,start_anchor_document_id,requested_partition_number,returned_rows,returned_token_count,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,driver_execute_p50_ms,driver_execute_p95_ms,driver_execute_mean_ms,driver_execute_min_ms,driver_execute_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,selection_sql_sha256,replay_parameter_source,runner_commit,subject_commit
mssql,cursor-descriptor-first,cursor,descriptor,,25,,first,1,,25,,1,10,60,57.169,65.429,58.196,51.052,72.709,53.832,61.498,54.459,48.202,68.203,,56.000,55.000,37840,0,,,plans/mssql.cursor-descriptor-first.25.plans.json,d49b00c3063a5c6a6c739f42a76747b31082172aaaef792a7287cd70b4af1778,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-descriptor-first,cursor,descriptor,,500,,first,1,,500,,1,10,60,59.891,68.129,60.798,52.666,73.445,55.033,62.809,55.293,46.877,68.228,,57.000,58.000,40215,0,,,plans/mssql.cursor-descriptor-first.500.plans.json,d49b00c3063a5c6a6c739f42a76747b31082172aaaef792a7287cd70b4af1778,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-descriptor-middle,cursor,descriptor,,25,,middle,12475,,25,,1,10,60,32.944,37.084,33.173,29.053,40.805,30.955,35.103,31.122,27.589,38.008,,32.000,32.000,19129,0,,,plans/mssql.cursor-descriptor-middle.25.plans.json,d49b00c3063a5c6a6c739f42a76747b31082172aaaef792a7287cd70b4af1778,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-descriptor-middle,cursor,descriptor,,500,,middle,12001,,500,,1,10,60,36.601,42.551,37.095,33.294,47.862,31.275,36.724,32.105,28.611,39.679,,38.000,40.000,22215,0,,,plans/mssql.cursor-descriptor-middle.500.plans.json,d49b00c3063a5c6a6c739f42a76747b31082172aaaef792a7287cd70b4af1778,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-descriptor-last,cursor,descriptor,,25,,last,24951,,25,,1,10,60,12.299,14.942,12.399,8.642,15.734,10.437,12.765,10.519,7.361,13.936,,10.000,10.000,415,0,,,plans/mssql.cursor-descriptor-last.25.plans.json,d49b00c3063a5c6a6c739f42a76747b31082172aaaef792a7287cd70b4af1778,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-descriptor-last,cursor,descriptor,,500,,last,24001,,500,,1,10,60,16.432,19.211,16.830,14.599,21.954,11.781,13.487,11.925,10.614,15.045,,15.000,16.000,4215,0,,,plans/mssql.cursor-descriptor-last.500.plans.json,d49b00c3063a5c6a6c739f42a76747b31082172aaaef792a7287cd70b4af1778,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,partition-descriptor-10,partition,descriptor,,,,,,10,,5,1,10,60,70.294,79.116,71.366,65.002,81.535,67.957,77.524,69.331,63.122,79.937,,73.000,73.000,63076,0,,,plans/mssql.partition-descriptor-10.10.plans.json,23aa8f342a3bca65425c56fe22cb4b172bc6e4e9bc952416133fad36a7a70893,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
