provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
postgresql,traditional-offset-zero,25,0,25,1,5,30,109.310,148.629,113.337,89.461,164.925,104.262,143.946,108.120,83.760,153.774,158.206,,,,,12753,0,plans/postgresql.traditional-offset-zero.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-zero,500,0,500,1,5,30,112.185,126.791,111.669,95.881,130.116,102.564,121.471,105.335,89.136,125.884,141.533,,,,,12751,0,plans/postgresql.traditional-offset-zero.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,25,25,25,1,5,30,105.373,120.397,103.385,81.285,120.950,101.213,117.533,100.286,79.382,118.318,153.784,,,,,12750,0,plans/postgresql.traditional-offset-shallow.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,500,500,500,1,5,30,103.443,127.833,105.449,94.898,129.679,98.139,123.805,100.271,88.703,124.446,149.158,,,,,12752,0,plans/postgresql.traditional-offset-shallow.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,25,450000,25,1,5,30,121.390,140.821,123.007,106.535,141.188,118.706,136.802,120.337,104.621,137.420,202.656,,,,,13979,0,plans/postgresql.traditional-offset-deep.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,500,450000,500,1,5,30,128.333,158.450,132.410,115.693,166.205,124.078,154.635,127.622,109.870,160.954,208.834,,,,,13980,0,plans/postgresql.traditional-offset-deep.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,95e98b4756d3929ec71e06f89efb1f4eefb47850,5656477957eb2f18e827b7969e5079b424596ae0
