provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
postgresql,traditional-offset-zero,25,0,25,1,5,30,99.283,124.521,102.617,85.801,133.212,94.476,119.258,97.161,81.705,124.538,0.126,,,,,4,0,plans/postgresql.traditional-offset-zero.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-zero,500,0,500,1,5,30,104.619,119.803,106.051,90.964,124.518,98.750,115.050,100.164,85.296,119.628,0.309,,,,,5,0,plans/postgresql.traditional-offset-zero.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,25,25,25,1,5,30,91.926,119.731,96.250,78.231,141.388,89.138,117.106,93.727,74.489,139.358,0.122,,,,,4,0,plans/postgresql.traditional-offset-shallow.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,500,500,500,1,5,30,99.824,136.900,104.967,87.394,142.227,96.231,133.274,100.523,84.583,138.563,0.204,,,,,6,0,plans/postgresql.traditional-offset-shallow.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,25,450000,25,1,5,30,112.657,137.602,113.467,95.365,145.597,107.341,135.764,110.760,93.083,143.255,49.993,,,,,1233,0,plans/postgresql.traditional-offset-deep.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,500,450000,500,1,5,30,123.775,167.226,129.013,98.924,211.259,119.938,148.852,121.837,93.794,162.757,67.313,,,,,1234,0,plans/postgresql.traditional-offset-deep.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
