Counters: {"aborted": "0", "completed": "0", "disconnected": "0", "error": "0", "executed": "151", "failed": "0", "inProgress": "0", "inconclusive": "0", "notExecuted": "0", "notRunnable": "0", "passed": "151", "passedButRunAborted": "0", "pending": "0", "timeout": "0", "total": "151", "warning": "0"}
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_retire_request_carrying_the_connector_absence_assertion
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_retire_request_carrying_the_source_connection_variable_name
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_leaves_the_connector_absence_assertion_unmade_when_retire_omits_the_flag
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_leaves_the_source_connection_variable_unnamed_when_retire_omits_the_option
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_reads_the_verb_scoped_options_on_a_verb_that_does_not_declare_them("adopt")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_reads_the_verb_scoped_options_on_a_verb_that_does_not_declare_them("enable")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_reads_the_verb_scoped_options_on_a_verb_that_does_not_declare_them("restart")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_reads_the_verb_scoped_options_on_a_verb_that_does_not_declare_them("status")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_reads_the_verb_scoped_options_on_a_verb_that_does_not_declare_them("stop")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_refuses_a_binding_record_the_loader_cannot_read
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_refuses_an_empty_binding_record("   ")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_refuses_an_empty_binding_record("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("adopt").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("adopt").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("adopt").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("adopt").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("adopt").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("adopt").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("enable").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("enable").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("enable").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("enable").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("enable").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("enable").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("replace-source").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("replace-source").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("replace-source").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
