provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
mssql,traditional-offset-zero,25,0,25,1,5,30,11.469,29.022,13.151,8.086,30.998,6.394,12.652,7.794,4.502,24.604,,1.000,0.000,6,0,,,plans/mssql.traditional-offset-zero.25.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-zero,500,0,500,1,5,30,23.376,33.671,23.765,18.566,34.206,8.554,14.678,9.221,6.212,15.389,,1.000,1.000,36,0,,,plans/mssql.traditional-offset-zero.500.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,25,25,25,1,5,30,9.707,14.654,10.706,7.436,14.892,5.959,10.937,6.943,4.502,11.387,,1.000,1.000,27,0,,,plans/mssql.traditional-offset-shallow.25.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-shallow,500,500,500,1,5,30,21.396,29.912,21.855,17.190,30.308,8.280,12.373,8.554,5.646,17.624,,1.000,1.000,46,0,,,plans/mssql.traditional-offset-shallow.500.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,25,450000,25,1,5,30,205.489,221.891,205.820,171.414,229.869,202.771,219.605,202.584,168.301,226.249,,56.000,56.000,9426,0,,,plans/mssql.traditional-offset-deep.25.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
mssql,traditional-offset-deep,500,450000,500,1,5,30,216.313,253.102,218.447,177.946,296.135,206.200,242.431,207.531,170.127,273.229,,50.000,49.000,9436,0,,,plans/mssql.traditional-offset-deep.500.sqlplan,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,cfc0a45147ddf3f048e6e0318767d778e5d37136,5656477957eb2f18e827b7969e5079b424596ae0
