provider,scenario_id,family,variant,phase,page_size,offset,cursor_range,start_anchor_document_id,requested_partition_number,returned_rows,returned_token_count,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,driver_execute_p50_ms,driver_execute_p95_ms,driver_execute_mean_ms,driver_execute_min_ms,driver_execute_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,selection_sql_sha256,replay_parameter_source,runner_commit,subject_commit
postgresql,cursor-descriptor-first,cursor,descriptor,,25,,first,1,,25,,1,10,60,5.282,8.786,5.632,3.438,15.205,1.939,2.720,1.963,1.156,3.234,0.172,,,,,154,0,plans/postgresql.cursor-descriptor-first.25.explain.json,9d4c7e771c23e879cb3daf81e0047b58a6327cc1dc57fee23b7289bbefc77302,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
postgresql,cursor-descriptor-first,cursor,descriptor,,500,,first,1,,500,,1,10,60,10.181,13.919,10.523,7.872,16.183,5.373,7.539,5.580,3.793,10.892,8.456,,,,,1863,0,plans/postgresql.cursor-descriptor-first.500.explain.json,9d4c7e771c23e879cb3daf81e0047b58a6327cc1dc57fee23b7289bbefc77302,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
postgresql,cursor-descriptor-middle,cursor,descriptor,,25,,middle,12475,,25,,1,10,60,4.495,7.136,4.780,3.105,8.016,1.926,2.596,1.973,1.318,3.100,0.170,,,,,154,0,plans/postgresql.cursor-descriptor-middle.25.explain.json,9d4c7e771c23e879cb3daf81e0047b58a6327cc1dc57fee23b7289bbefc77302,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
postgresql,cursor-descriptor-middle,cursor,descriptor,,500,,middle,12001,,500,,1,10,60,8.801,14.541,9.513,6.261,24.550,5.501,6.712,5.642,3.905,10.684,7.111,,,,,1861,0,plans/postgresql.cursor-descriptor-middle.500.explain.json,9d4c7e771c23e879cb3daf81e0047b58a6327cc1dc57fee23b7289bbefc77302,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
postgresql,cursor-descriptor-last,cursor,descriptor,,25,,last,24951,,25,,1,10,60,3.532,4.862,3.662,2.589,6.449,1.713,2.198,1.742,1.173,3.221,0.116,,,,,155,0,plans/postgresql.cursor-descriptor-last.25.explain.json,9d4c7e771c23e879cb3daf81e0047b58a6327cc1dc57fee23b7289bbefc77302,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
postgresql,cursor-descriptor-last,cursor,descriptor,,500,,last,24001,,500,,1,10,60,7.999,11.658,8.389,5.870,12.580,5.122,7.258,5.378,3.694,9.377,6.550,,,,,1860,0,plans/postgresql.cursor-descriptor-last.500.explain.json,9d4c7e771c23e879cb3daf81e0047b58a6327cc1dc57fee23b7289bbefc77302,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
postgresql,partition-descriptor-10,partition,descriptor,,,,,,10,,5,1,10,60,18.418,20.634,18.694,16.524,24.034,15.858,17.334,15.884,14.163,17.695,14.203,,,,,920,0,plans/postgresql.partition-descriptor-10.10.explain.json,5d2a4cf435085904f7f8c25323301cc9a9e8dbe6f16aecac5a08c50248b26a63,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
