provider,scenario_id,page_size,offset,returned_rows,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,db_command_p50_ms,db_command_p95_ms,db_command_mean_ms,db_command_min_ms,db_command_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,page_selection_sql_sha256,runner_commit,subject_commit
postgresql,traditional-offset-zero,25,0,25,1,5,30,98.108,115.027,98.519,80.366,137.677,91.301,109.940,92.826,76.962,110.888,0.106,,,,,4,0,plans/postgresql.traditional-offset-zero.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-zero,500,0,500,1,5,30,103.489,131.393,105.339,87.443,186.095,98.108,113.547,97.362,82.963,122.615,0.214,,,,,5,0,plans/postgresql.traditional-offset-zero.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,25,25,25,1,5,30,86.321,107.797,89.444,75.590,108.039,84.468,105.414,87.124,72.953,106.082,0.075,,,,,4,0,plans/postgresql.traditional-offset-shallow.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-shallow,500,500,500,1,5,30,99.688,118.784,100.919,84.466,126.373,96.059,111.208,96.363,80.266,121.217,0.193,,,,,6,0,plans/postgresql.traditional-offset-shallow.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,25,450000,25,1,5,30,108.294,124.013,110.505,97.044,142.003,106.474,122.096,108.403,95.425,139.916,52.183,,,,,1233,0,plans/postgresql.traditional-offset-deep.25.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
postgresql,traditional-offset-deep,500,450000,500,1,5,30,116.270,141.048,118.797,100.346,141.977,111.258,136.840,114.303,96.965,137.542,52.892,,,,,1234,0,plans/postgresql.traditional-offset-deep.500.explain.json,fbf144550d2157024d652cd2bb1373d39ab9973e58791cf1f778d468d1eed792,9115c0faf76f8a8a2552650575a09a767bb03e01,5656477957eb2f18e827b7969e5079b424596ae0
